Name,Component,Side,Centre X,Centre Y,Rotation
C1,C,Top,64,63.2,270
C2,C,Top,6,36.8,90
C3,C,Top,22,36.8,90
C4,C,Top,71,52.2,270
C5,C,Top,22,57.8,90
LED1,LED,Top,70,42.6,0
LED2,LED,Top,20,8.6,0
LED3,LED,Top,30,8.6,0
LED4,LED,Top,40,8.6,0
LED5,LED,Top,50,8.6,0
U2,LM2937-3.3,Top,70.5,62.5,270
U1,PIC24HJ128GP502,Top,13.8,43.5,0
SW1,PUSHBUTTON,Top,57,72,0
SW2,PUSHBUTTON,Top,47,72,0
SW3,PUSHBUTTON,Top,37,72,0
R1,R,Top,24,24.9,270
R2,R,Top,14.1,68,0
R3,R,Top,30,24.9,270
R4,R,Top,36,24.9,270
R5,R,Top,42,24.9,270
R6,R,Top,48,24.9,270
