"Name","Component","Side","Centre X","Centre Y","Rotation"
"U4","24LC515","Top","43.8","16.2","0.00"
"C1","C","Top","64.0","63.2","270.00"
"C2","C","Top","6.0","36.8","90.00"
"C3","C","Top","22.0","36.8","90.00"
"C4","C","Top","71.0","52.2","270.00"
"C5","C","Top","22.0","57.8","90.00"
"LED1","LED","Top","70.0","38.6","0.00"
"U2","LM2937-3.3","Top","70.5","62.5","270.00"
"U3","MAX548A","Top","13.8","16.2","0.00"
"U1","PIC24HJ128GP502","Top","13.8","43.5","0.00"
"SW1","PUSHBUTTON","Top","50.0","70.0","0.00"
"R1","RA","Top","30.0","24.9","270.00"
"R2","RA","Top","25.0","24.9","270.00"
"R3","RA","Top","14.1","68.0","0.00"
"R4","RA","Top","55.0","16.1","90.00"
